category,location_type,context,persistent_id,id,location_subtype,month,latitude,location.street.id,street_name,longitude,outcome_status_category,outcome_status_date
anti-social-behaviour,Force,,,130066620,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130066610,,2025-07,52.635555,1738528,On or near Yeoman Lane,-1.129626,unknown,unknown
anti-social-behaviour,Force,,,130066609,,2025-07,52.639764,1738451,On or near Abbey Street,-1.132277,unknown,unknown
anti-social-behaviour,Force,,,130066581,,2025-07,52.634764,1738562,On or near Halford Street,-1.129612,unknown,unknown
anti-social-behaviour,Force,,,130066568,,2025-07,52.635308,1737355,On or near Noble Street,-1.151353,unknown,unknown
anti-social-behaviour,Force,,,130066527,,2025-07,52.631193,1738645,On or near Calais Hill,-1.128220,unknown,unknown
anti-social-behaviour,Force,,,130066525,,2025-07,52.628586,1739123,On or near Highfield Street,-1.118432,unknown,unknown
anti-social-behaviour,Force,,,130066524,,2025-07,52.637627,1738668,On or near Eldon Street,-1.127782,unknown,unknown
anti-social-behaviour,Force,,,130066522,,2025-07,52.634403,1738054,On or near Conference/exhibition Centre,-1.138027,unknown,unknown
anti-social-behaviour,Force,,,130066509,,2025-07,52.638235,1738688,On or near Wharf Street South,-1.127268,unknown,unknown
anti-social-behaviour,Force,,,130066507,,2025-07,52.638235,1738688,On or near Wharf Street South,-1.127268,unknown,unknown
anti-social-behaviour,Force,,,130066503,,2025-07,52.627308,1737263,On or near Browning Street,-1.152778,unknown,unknown
anti-social-behaviour,Force,,,130066502,,2025-07,52.634392,1737937,On or near Parking Area,-1.140229,unknown,unknown
anti-social-behaviour,Force,,,130066498,,2025-07,52.625906,1738509,On or near Tigers Way,-1.129271,unknown,unknown
anti-social-behaviour,Force,,,130066477,,2025-07,52.638235,1738688,On or near Wharf Street South,-1.127268,unknown,unknown
anti-social-behaviour,Force,,,130066475,,2025-07,52.628748,1737764,On or near Western Boulevard,-1.143043,unknown,unknown
anti-social-behaviour,Force,,,130066346,,2025-07,52.635555,1738528,On or near Yeoman Lane,-1.129626,unknown,unknown
anti-social-behaviour,Force,,,130066356,,2025-07,52.629772,1738397,On or near Parking Area,-1.132917,unknown,unknown
anti-social-behaviour,Force,,,130066402,,2025-07,52.626768,1738882,On or near Further/higher Educational Building,-1.123078,unknown,unknown
anti-social-behaviour,Force,,,130066426,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130066406,,2025-07,52.637756,1738805,On or near Clyde Street,-1.125755,unknown,unknown
anti-social-behaviour,Force,,,130065935,,2025-07,52.627016,1739075,On or near Salisbury Avenue,-1.120148,unknown,unknown
anti-social-behaviour,Force,,,130065939,,2025-07,52.631302,1738955,On or near Lincoln Street,-1.120978,unknown,unknown
anti-social-behaviour,Force,,,130065942,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130065948,,2025-07,52.636857,1738642,On or near St James Street,-1.128211,unknown,unknown
anti-social-behaviour,Force,,,130065960,,2025-07,52.634074,1738437,On or near Every Street,-1.132389,unknown,unknown
anti-social-behaviour,Force,,,130065977,,2025-07,52.642028,1738525,On or near Archdeacon Lane,-1.129631,unknown,unknown
anti-social-behaviour,Force,,,130066169,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130066340,,2025-07,52.635555,1738528,On or near Yeoman Lane,-1.129626,unknown,unknown
anti-social-behaviour,Force,,,130066749,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130066983,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130067295,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130067955,,2025-07,52.642180,1739083,On or near Kashmir Road,-1.119859,unknown,unknown
anti-social-behaviour,Force,,,130067957,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130065999,,2025-07,52.617509,1738992,On or near Howard Road,-1.120752,unknown,unknown
anti-social-behaviour,Force,,,130066008,,2025-07,52.628586,1739123,On or near Highfield Street,-1.118432,unknown,unknown
anti-social-behaviour,Force,,,130066047,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130066060,,2025-07,52.628256,1737513,On or near Briton Street,-1.148327,unknown,unknown
anti-social-behaviour,Force,,,130066074,,2025-07,52.631624,1738751,On or near Station Street,-1.125641,unknown,unknown
anti-social-behaviour,Force,,,130066095,,2025-07,52.629982,1738203,On or near Lower Brown Street,-1.134642,unknown,unknown
anti-social-behaviour,Force,,,130066114,,2025-07,52.627455,1739118,On or near Mill Hill Lane,-1.118736,unknown,unknown
anti-social-behaviour,Force,,,130066120,,2025-07,52.636623,1737784,On or near Ruding Street,-1.142978,unknown,unknown
anti-social-behaviour,Force,,,130066135,,2025-07,52.632052,1737636,On or near Supermarket,-1.146096,unknown,unknown
anti-social-behaviour,Force,,,130066147,,2025-07,52.629734,1738975,On or near Brookhouse Avenue,-1.121660,unknown,unknown
anti-social-behaviour,Force,,,130066154,,2025-07,52.628748,1737764,On or near Western Boulevard,-1.143043,unknown,unknown
anti-social-behaviour,Force,,,130066174,,2025-07,52.623171,1738050,On or near New Bridge Street,-1.137553,unknown,unknown
anti-social-behaviour,Force,,,130066178,,2025-07,52.631624,1738751,On or near Station Street,-1.125641,unknown,unknown
anti-social-behaviour,Force,,,130066183,,2025-07,52.635012,1737337,On or near Flora Street,-1.151417,unknown,unknown
anti-social-behaviour,Force,,,130066185,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130066198,,2025-07,52.626898,1739308,On or near Onslow Street,-1.113960,unknown,unknown
anti-social-behaviour,Force,,,130066209,,2025-07,52.625109,1739055,On or near Parking Area,-1.119950,unknown,unknown
anti-social-behaviour,Force,,,130068644,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130068631,,2025-07,52.630429,1738658,On or near Ashwell Street,-1.126994,unknown,unknown
anti-social-behaviour,Force,,,130066216,,2025-07,52.631238,1739086,On or near Sparkenhoe Street,-1.119635,unknown,unknown
anti-social-behaviour,Force,,,130068594,,2025-07,52.630039,1737401,On or near Ridley Street,-1.149962,unknown,unknown
anti-social-behaviour,Force,,,130068592,,2025-07,52.636857,1738642,On or near St James Street,-1.128211,unknown,unknown
anti-social-behaviour,Force,,,130068581,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130068569,,2025-07,52.630034,1738837,On or near Nelson Street,-1.124594,unknown,unknown
anti-social-behaviour,Force,,,130068557,,2025-07,52.632952,1737912,On or near Southgates,-1.138765,unknown,unknown
anti-social-behaviour,Force,,,130068545,,2025-07,52.634403,1738054,On or near Conference/exhibition Centre,-1.138027,unknown,unknown
anti-social-behaviour,Force,,,130068538,,2025-07,52.640513,1738601,On or near Gower Street,-1.128966,unknown,unknown
anti-social-behaviour,Force,,,130068530,,2025-07,52.631193,1738645,On or near Calais Hill,-1.128220,unknown,unknown
anti-social-behaviour,Force,,,130068528,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130068526,,2025-07,52.640498,1737983,On or near St Margaret's Street,-1.136799,unknown,unknown
anti-social-behaviour,Force,,,130068525,,2025-07,52.635399,1738303,On or near Shopping Area,-1.134107,unknown,unknown
anti-social-behaviour,Force,,,130068523,,2025-07,52.635528,1738700,On or near Theatre/concert Hall,-1.127553,unknown,unknown
anti-social-behaviour,Force,,,130068515,,2025-07,52.635528,1738700,On or near Theatre/concert Hall,-1.127553,unknown,unknown
anti-social-behaviour,Force,,,130068511,,2025-07,52.636281,1739277,On or near Melbourne Street,-1.114835,unknown,unknown
anti-social-behaviour,Force,,,130068498,,2025-07,52.625255,1739323,On or near St James Road,-1.114156,unknown,unknown
anti-social-behaviour,Force,,,130068496,,2025-07,52.635290,1737490,On or near Clifford Street,-1.148856,unknown,unknown
anti-social-behaviour,Force,,,130068477,,2025-07,52.625109,1739055,On or near Parking Area,-1.119950,unknown,unknown
anti-social-behaviour,Force,,,130068475,,2025-07,52.635488,1738121,On or near Carts Lane,-1.136395,unknown,unknown
anti-social-behaviour,Force,,,130068469,,2025-07,52.635488,1738121,On or near Carts Lane,-1.136395,unknown,unknown
anti-social-behaviour,Force,,,130068467,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130068443,,2025-07,52.620909,1739111,On or near St Marys Road,-1.116031,unknown,unknown
anti-social-behaviour,Force,,,130068413,,2025-07,52.627015,1739376,On or near Cedar Road,-1.112702,unknown,unknown
anti-social-behaviour,Force,,,130068391,,2025-07,52.624679,1739302,On or near St James Terrace,-1.114123,unknown,unknown
anti-social-behaviour,Force,,,130068383,,2025-07,52.636175,1738848,On or near Burton Street,-1.124737,unknown,unknown
anti-social-behaviour,Force,,,130068382,,2025-07,52.627408,1738593,On or near West Street,-1.129389,unknown,unknown
anti-social-behaviour,Force,,,130068378,,2025-07,52.627212,1737850,On or near Rydal Street,-1.141877,unknown,unknown
anti-social-behaviour,Force,,,130066234,,2025-07,52.634849,1738676,On or near Rutland Street,-1.127749,unknown,unknown
anti-social-behaviour,Force,,,130068371,,2025-07,52.627016,1739075,On or near Salisbury Avenue,-1.120148,unknown,unknown
anti-social-behaviour,Force,,,130068367,,2025-07,52.639052,1738044,On or near Burgess Street,-1.138290,unknown,unknown
anti-social-behaviour,Force,,,130065982,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130066595,,2025-07,52.628717,1737809,On or near Mill Lane,-1.142394,unknown,unknown
anti-social-behaviour,Force,,,130066656,,2025-07,52.626768,1738882,On or near Further/higher Educational Building,-1.123078,unknown,unknown
anti-social-behaviour,Force,,,130067105,,2025-07,52.635012,1737337,On or near Flora Street,-1.151417,unknown,unknown
anti-social-behaviour,Force,,,130067119,,2025-07,52.637740,1738170,On or near Church Gate,-1.134563,unknown,unknown
anti-social-behaviour,Force,,,130068365,,2025-07,52.638537,1738678,On or near Lee Street,-1.128030,unknown,unknown
anti-social-behaviour,Force,,,130067155,,2025-07,52.622807,1737917,On or near Burnmoor Street,-1.139451,unknown,unknown
anti-social-behaviour,Force,,,130067161,,2025-07,52.631302,1738955,On or near Lincoln Street,-1.120978,unknown,unknown
anti-social-behaviour,Force,,,130067165,,2025-07,52.628256,1737513,On or near Briton Street,-1.148327,unknown,unknown
anti-social-behaviour,Force,,,130067225,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067234,,2025-07,52.635182,1737576,On or near Rivers Street,-1.147646,unknown,unknown
anti-social-behaviour,Force,,,130067270,,2025-07,52.628911,1738970,On or near College Walk,-1.122297,unknown,unknown
anti-social-behaviour,Force,,,130067281,,2025-07,52.637697,1738064,On or near Causeway Lane,-1.137297,unknown,unknown
anti-social-behaviour,Force,,,130067288,,2025-07,52.629831,1738423,On or near Marquis Street,-1.132503,unknown,unknown
anti-social-behaviour,Force,,,130067335,,2025-07,52.623733,1737598,On or near Watkin Road,-1.146967,unknown,unknown
anti-social-behaviour,Force,,,130067336,,2025-07,52.629928,1738952,On or near Prebend Street,-1.122350,unknown,unknown
anti-social-behaviour,Force,,,130067346,,2025-07,52.634169,1738654,On or near Colton Street,-1.128191,unknown,unknown
anti-social-behaviour,Force,,,130067352,,2025-07,52.620491,1738051,On or near Sports/recreation Area,-1.138014,unknown,unknown
anti-social-behaviour,Force,,,130067356,,2025-07,52.628748,1737764,On or near Western Boulevard,-1.143043,unknown,unknown
anti-social-behaviour,Force,,,130067391,,2025-07,52.628482,1739362,On or near Sutherland Street,-1.112894,unknown,unknown
anti-social-behaviour,Force,,,130067397,,2025-07,52.620491,1738051,On or near Sports/recreation Area,-1.138014,unknown,unknown
anti-social-behaviour,Force,,,130067399,,2025-07,52.633879,1738375,On or near Horsefair Street,-1.132821,unknown,unknown
anti-social-behaviour,Force,,,130067517,,2025-07,52.638387,1738366,On or near Mansfield Street,-1.133264,unknown,unknown
anti-social-behaviour,Force,,,130067616,,2025-07,52.636111,1738000,On or near Freeschool Lane,-1.138053,unknown,unknown
anti-social-behaviour,Force,,,130068071,,2025-07,52.632052,1737636,On or near Supermarket,-1.146096,unknown,unknown
anti-social-behaviour,Force,,,130068092,,2025-07,52.638537,1738678,On or near Lee Street,-1.128030,unknown,unknown
anti-social-behaviour,Force,,,130068358,,2025-07,52.638052,1737400,On or near Nugent Street,-1.150413,unknown,unknown
anti-social-behaviour,Force,,,130068352,,2025-07,52.636054,1738679,On or near Vestry Street,-1.127784,unknown,unknown
anti-social-behaviour,Force,,,130066259,,2025-07,52.636857,1738642,On or near St James Street,-1.128211,unknown,unknown
anti-social-behaviour,Force,,,130068306,,2025-07,52.621821,1738041,On or near Sports/recreation Area,-1.138165,unknown,unknown
anti-social-behaviour,Force,,,130066261,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130068255,,2025-07,52.620909,1739111,On or near St Marys Road,-1.116031,unknown,unknown
anti-social-behaviour,Force,,,130066264,,2025-07,52.642024,1737685,On or near North Bridge Place,-1.143892,unknown,unknown
anti-social-behaviour,Force,,,130068242,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130068233,,2025-07,52.628543,1738086,On or near Henshaw Street,-1.137064,unknown,unknown
anti-social-behaviour,Force,,,130068218,,2025-07,52.627212,1737850,On or near Rydal Street,-1.141877,unknown,unknown
anti-social-behaviour,Force,,,130068210,,2025-07,52.634477,1738414,On or near Market Place Approach,-1.132159,unknown,unknown
anti-social-behaviour,Force,,,130068194,,2025-07,52.631158,1739188,On or near Stoughton Street South,-1.117287,unknown,unknown
anti-social-behaviour,Force,,,130068172,,2025-07,52.631158,1739188,On or near Stoughton Street South,-1.117287,unknown,unknown
anti-social-behaviour,Force,,,130068171,,2025-07,52.639155,1738074,On or near Junior Street,-1.137609,unknown,unknown
anti-social-behaviour,Force,,,130068118,,2025-07,52.642024,1737685,On or near North Bridge Place,-1.143892,unknown,unknown
anti-social-behaviour,Force,,,130068107,,2025-07,52.630232,1739531,On or near Bonsall Street,-1.109002,unknown,unknown
anti-social-behaviour,Force,,,130068085,,2025-07,52.632171,1738533,On or near Stamford Street,-1.130358,unknown,unknown
anti-social-behaviour,Force,,,130068065,,2025-07,52.630929,1739049,On or near Hobart Street,-1.120365,unknown,unknown
anti-social-behaviour,Force,,,130068049,,2025-07,52.635012,1737337,On or near Flora Street,-1.151417,unknown,unknown
anti-social-behaviour,Force,,,130068045,,2025-07,52.634585,1739206,On or near Taurus Close,-1.116450,unknown,unknown
anti-social-behaviour,Force,,,130068033,,2025-07,52.627212,1737850,On or near Rydal Street,-1.141877,unknown,unknown
anti-social-behaviour,Force,,,130066270,,2025-07,52.628256,1737513,On or near Briton Street,-1.148327,unknown,unknown
anti-social-behaviour,Force,,,130068004,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067976,,2025-07,52.634169,1738654,On or near Colton Street,-1.128191,unknown,unknown
anti-social-behaviour,Force,,,130067954,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130066274,,2025-07,52.628717,1737809,On or near Mill Lane,-1.142394,unknown,unknown
anti-social-behaviour,Force,,,130067952,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067943,,2025-07,52.621609,1739370,On or near Cedars Court,-1.113476,unknown,unknown
anti-social-behaviour,Force,,,130066275,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067939,,2025-07,52.631302,1738955,On or near Lincoln Street,-1.120978,unknown,unknown
anti-social-behaviour,Force,,,130067887,,2025-07,52.628521,1739304,On or near Biddulph Street,-1.113366,unknown,unknown
anti-social-behaviour,Force,,,130067844,,2025-07,52.631624,1738751,On or near Station Street,-1.125641,unknown,unknown
anti-social-behaviour,Force,,,130067840,,2025-07,52.622852,1737331,On or near Bisley Street,-1.150707,unknown,unknown
anti-social-behaviour,Force,,,130067817,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067812,,2025-07,52.638358,1738578,On or near Parking Area,-1.129437,unknown,unknown
anti-social-behaviour,Force,,,130067800,,2025-07,52.620909,1739111,On or near St Marys Road,-1.116031,unknown,unknown
anti-social-behaviour,Force,,,130066281,,2025-07,52.633938,1737254,On or near King Richards Road,-1.152162,unknown,unknown
anti-social-behaviour,Force,,,130067777,,2025-07,52.635191,1738600,On or near Nightclub,-1.129013,unknown,unknown
anti-social-behaviour,Force,,,130067771,,2025-07,52.633983,1738850,On or near St Georges Way,-1.123762,unknown,unknown
anti-social-behaviour,Force,,,130067766,,2025-07,52.630039,1737401,On or near Ridley Street,-1.149962,unknown,unknown
anti-social-behaviour,Force,,,130067762,,2025-07,52.632985,1737285,On or near Fosse Road Central,-1.152092,unknown,unknown
anti-social-behaviour,Force,,,130067760,,2025-07,52.630129,1737982,On or near Conference/exhibition Centre,-1.137182,unknown,unknown
anti-social-behaviour,Force,,,130066286,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130067744,,2025-07,52.622852,1737331,On or near Bisley Street,-1.150707,unknown,unknown
anti-social-behaviour,Force,,,130066290,,2025-07,52.616027,1738697,On or near Westbury Road,-1.126956,unknown,unknown
anti-social-behaviour,Force,,,130067714,,2025-07,52.627895,1737587,On or near Supermarket,-1.146886,unknown,unknown
anti-social-behaviour,Force,,,130067691,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130067676,,2025-07,52.631624,1738751,On or near Station Street,-1.125641,unknown,unknown
anti-social-behaviour,Force,,,130067665,,2025-07,52.636557,1737701,On or near All Saints Road,-1.143748,unknown,unknown
anti-social-behaviour,Force,,,130067654,,2025-07,52.633879,1738375,On or near Horsefair Street,-1.132821,unknown,unknown
anti-social-behaviour,Force,,,130067648,,2025-07,52.628473,1737234,On or near Harrow Road,-1.153553,unknown,unknown
anti-social-behaviour,Force,,,130067621,,2025-07,52.635706,1738956,On or near Samuel Street,-1.122072,unknown,unknown
anti-social-behaviour,Force,,,130067603,,2025-07,52.635647,1738106,On or near Shires Lane,-1.137293,unknown,unknown
anti-social-behaviour,Force,,,130067596,,2025-07,52.629221,1737316,On or near Shaftesbury Road,-1.151204,unknown,unknown
anti-social-behaviour,Force,,,130067590,,2025-07,52.632805,1738842,On or near Campbell Street,-1.124819,unknown,unknown
anti-social-behaviour,Force,,,130067589,,2025-07,52.630574,1738432,On or near King Street,-1.131985,unknown,unknown
anti-social-behaviour,Force,,,130067585,,2025-07,52.625551,1737260,On or near Petrol Station,-1.152191,unknown,unknown
anti-social-behaviour,Force,,,130067535,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130067528,,2025-07,52.634585,1739206,On or near Taurus Close,-1.116450,unknown,unknown
anti-social-behaviour,Force,,,130067519,,2025-07,52.628473,1737234,On or near Harrow Road,-1.153553,unknown,unknown
anti-social-behaviour,Force,,,130067507,,2025-07,52.623456,1737332,On or near Eastleigh Road,-1.150932,unknown,unknown
anti-social-behaviour,Force,,,130067503,,2025-07,52.629059,1739102,On or near Tichborne Street,-1.119250,unknown,unknown
anti-social-behaviour,Force,,,130067500,,2025-07,52.630162,1737864,On or near Newarke Close,-1.140873,unknown,unknown
anti-social-behaviour,Force,,,130067498,,2025-07,52.632318,1738584,On or near York Street,-1.129483,unknown,unknown
anti-social-behaviour,Force,,,130067496,,2025-07,52.620491,1738051,On or near Sports/recreation Area,-1.138014,unknown,unknown
anti-social-behaviour,Force,,,130067470,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
